title,title_href,mc_link,genre,certificate,votes,metascore,directors,stars,runtime,rating,introduction,produce_year
The Girl with the Dragon Tattoo,/title/tt1132620/,https://www.metacritic.com/movie/the-girl-with-the-dragon-tattoo?ftag=MCD-06-10aaa1c,"Crime,Drama,Mystery",R,214774,76.0,R,152 min,152,7.8,A journalist is aided by a young female hacker in his search for the killer of a woman who has been dead for forty years.,2009
Raging Bull,/title/tt0081398/,https://www.metacritic.com/movie/raging-bull?ftag=MCD-06-10aaa1c,"Biography,Drama,Sport",R,342751,89.0,R,129 min,129,8.2,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",1980
In Bruges,/title/tt0780536/,https://www.metacritic.com/movie/in-bruges?ftag=MCD-06-10aaa1c,"Comedy,Crime,Drama",R,410573,67.0,R,107 min,107,7.9,"Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be.",2008
Toy Story 2,/title/tt0120363/,https://www.metacritic.com/movie/toy-story-2?ftag=MCD-06-10aaa1c,"Animation,Adventure,Comedy",G,560560,88.0,G,92 min,92,7.9,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.",1999
The Magnificent Seven,/title/tt0054047/,https://www.metacritic.com/movie/the-magnificent-seven-1960?ftag=MCD-06-10aaa1c,"Action,Adventure,Western",Approved,93137,74.0,Approved,128 min,128,7.7,Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.,1960
Coraline,/title/tt0327597/,https://www.metacritic.com/movie/coraline?ftag=MCD-06-10aaa1c,"Animation,Drama,Family",PG,216211,80.0,PG,100 min,100,7.7,"An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.",2009
JFK,/title/tt0102138/,https://www.metacritic.com/movie/jfk?ftag=MCD-06-10aaa1c,"Drama,History,Thriller",R,152032,72.0,R,189 min,189,8.0,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,1991
Lawrence of Arabia,/title/tt0056172/,https://www.metacritic.com/movie/lawrence-of-arabia-re-release?ftag=MCD-06-10aaa1c,"Adventure,Biography,Drama",Approved,285453,100.0,Approved,228 min,228,8.3,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",1962
Glory,/title/tt0097441/,https://www.metacritic.com/movie/glory?ftag=MCD-06-10aaa1c,"Biography,Drama,History",R,132207,78.0,R,122 min,122,7.8,"Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates.",1989
The French Connection,/title/tt0067116/,https://www.metacritic.com/movie/the-french-connection-1971?ftag=MCD-06-10aaa1c,"Action,Crime,Drama",R,119250,94.0,R,104 min,104,7.7,"A pair of NYPD detectives in the Narcotics Bureau stumble onto a heroin smuggling ring based in Marseilles, but stopping them and capturing their leaders proves an elusive goal.",1971
The Thin Red Line,/title/tt0120863/,https://www.metacritic.com/movie/the-thin-red-line?ftag=MCD-06-10aaa1c,"Drama,History,War",R,184041,78.0,R,170 min,170,7.6,"Adaptation of James Jones' autobiographical 1962 novel, focusing on the conflict at Guadalcanal during the second World War.",1998
Before Sunset,/title/tt0381681/,https://www.metacritic.com/movie/before-sunset?ftag=MCD-06-10aaa1c,"Drama,Romance",R,254303,90.0,R,80 min,80,8.1,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",2004
"Paris, Texas",/title/tt0087884/,https://www.metacritic.com/movie/paris-texas?ftag=MCD-06-10aaa1c,Drama,R,102575,78.0,R,145 min,145,8.1,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",1984
Dog Day Afternoon,/title/tt0072890/,https://www.metacritic.com/movie/dog-day-afternoon?ftag=MCD-06-10aaa1c,"Biography,Crime,Drama",R,250363,86.0,R,125 min,125,8.0,"Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does.",1975
The Color Purple,/title/tt0088939/,https://www.metacritic.com/movie/the-color-purple?ftag=MCD-06-10aaa1c,Drama,PG-13,84503,78.0,PG-13,154 min,154,7.8,A black Southern woman struggles to find her identity after suffering abuse from her father and others over four decades.,1985
Carlito's Way,/title/tt0106519/,https://www.metacritic.com/movie/carlitos-way?ftag=MCD-06-10aaa1c,"Crime,Drama,Thriller",R,212730,65.0,R,144 min,144,7.9,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.",1993
North by Northwest,/title/tt0053125/,https://www.metacritic.com/movie/north-by-northwest?ftag=MCD-06-10aaa1c,"Adventure,Mystery,Thriller",Approved,318973,98.0,Approved,136 min,136,8.3,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",1959
Charade,/title/tt0056923/,https://www.metacritic.com/movie/charade?ftag=MCD-06-10aaa1c,"Comedy,Mystery,Romance",Passed,74994,83.0,Passed,113 min,113,7.9,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?,1963
Empire of the Sun,/title/tt0092965/,https://www.metacritic.com/movie/empire-of-the-sun?ftag=MCD-06-10aaa1c,"Drama,History,War",PG,122870,62.0,PG,153 min,153,7.7,A young English boy struggles to survive under Japanese occupation of China during World War II.,1987
Who's Afraid of Virginia Woolf?,/title/tt0061184/,https://www.metacritic.com/movie/whos-afraid-of-virginia-woolf?ftag=MCD-06-10aaa1c,Drama,Not Rated,73823,75.0,Not Rated,131 min,131,8.0,"A bitter middle-aged couple, her derisive of his lowly position at a New England college, ask a new colleague and his wife over for drinks, and use them to fuel anguish and emotional pain toward each other through a distressing night.",1966
