title,title_href,mc_link,genre,certificate,votes,metascore,directors,stars,introduction,produce_year,runtime,rating
Confessions,/title/tt1590089/,https://www.metacritic.com/movie/sweet-smell-of-success-re-release?ftag=MCD-06-10aaa1c,"Drama,Thriller",Not Rated,38240,,Not Rated,106 min,"
A psychological thriller of a grieving mother turned cold-blooded avenger with a twisty master plan to pay back those who were responsible for her daughter's death.",2010,106,7.7
Loveless,/title/tt6304162/,https://www.metacritic.com/movie/loveless-2017?ftag=MCD-06-10aaa1c,Drama,R,32424,86,R,127 min,"
A couple going through a divorce must team up to find their son who has disappeared during one of their bitter arguments.",2017,127,7.6
Dara of Jasenovac,/title/tt10554232/,https://www.metacritic.com/movie/loveless-2017?ftag=MCD-06-10aaa1c,"Drama,War",R,80420,,R,130 min,"
Follows the story of a young girl named Dara who is sent to a concentration camp in Croatia during World War 2.",2020,130,8.7
Miracle on 34th Street,/title/tt0039628/,https://www.metacritic.com/movie/miracle-on-34th-street?ftag=MCD-06-10aaa1c,"Comedy,Drama,Family",Not Rated,47139,88,Not Rated,96 min,"
After a divorced New York mother hires a nice old man to play Santa Claus at Macy's, she is startled by his claim to be the genuine article. When his sanity is questioned, a lawyer defends him in court by arguing that he's not mistaken.",1947,96,7.9
Harvey,/title/tt0042546/,https://www.metacritic.com/movie/miracle-on-34th-street?ftag=MCD-06-10aaa1c,"Comedy,Drama,Fantasy",Approved,54811,,Approved,104 min,"
Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows.",1950,104,7.9
"Goodbye, Children",/title/tt0092593/,https://www.metacritic.com/movie/au-revoir-les-enfants?ftag=MCD-06-10aaa1c,"Drama,War",PG,33241,88,PG,104 min,"
A French boarding school run by priests seems to be a haven from World War II until a new student arrives. Occupying the next bed in the dormitory to the top student in his class, the two young boys begin to form a bond.",1987,104,8.0
Lagaan: Once Upon a Time in India,/title/tt0169102/,https://www.metacritic.com/movie/lagaan-once-upon-a-time-in-india?ftag=MCD-06-10aaa1c,"Drama,Musical,Sport",PG,111106,84,PG,224 min,"
The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.",2001,224,8.1
Sleuth,/title/tt0069281/,https://www.metacritic.com/movie/lagaan-once-upon-a-time-in-india?ftag=MCD-06-10aaa1c,"Mystery,Thriller",PG,47090,,PG,138 min,"
A man who loves games and theater invites his wife's lover to meet him, setting up a battle of wits with potentially deadly results.",1972,138,8.0
The Girl Who Leapt Through Time,/title/tt0808506/,https://www.metacritic.com/movie/lagaan-once-upon-a-time-in-india?ftag=MCD-06-10aaa1c,"Animation,Adventure,Comedy",TV-PG,64557,,TV-PG,98 min,"
A high-school girl named Makoto acquires the power to travel back in time, and decides to use it for her own personal benefits. Little does she know that she is affecting the lives of others just as much as she is her own.",2006,98,7.7
The Hidden Fortress,/title/tt0051808/,https://www.metacritic.com/movie/the-hidden-fortress?ftag=MCD-06-10aaa1c,"Action,Adventure,Drama",Not Rated,38116,89,Not Rated,126 min,"
Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines.",1958,126,8.1
My Sassy Girl,/title/tt0293715/,https://www.metacritic.com/movie/the-hidden-fortress?ftag=MCD-06-10aaa1c,"Comedy,Drama,Romance",Not Rated,47513,,Not Rated,137 min,"
A young man sees a drunk, cute woman standing too close to the tracks at a metro station in Seoul and pulls her back. She ends up getting him into trouble repeatedly after that, starting on the train.",2001,137,8.0
The Secret of Kells,/title/tt0485601/,https://www.metacritic.com/movie/the-secret-of-kells?ftag=MCD-06-10aaa1c,"Animation,Adventure,Family",Not Rated,34674,81,Not Rated,75 min,"
A young boy in a remote medieval outpost under siege from barbarian raids is beckoned to adventure when a celebrated master illuminator arrives with an ancient book, brimming with secret wisdom and powers.",2009,75,7.6
Celda 211,/title/tt1242422/,https://www.metacritic.com/movie/the-secret-of-kells?ftag=MCD-06-10aaa1c,"Action,Crime,Drama",16,66735,,16,113 min,"
The story of two men on different sides of a prison riot -- the inmate leading the rebellion and the young guard trapped in the revolt, who poses as a prisoner in a desperate attempt to survive the ordeal.",2009,113,7.6
Lifeboat,/title/tt0037017/,https://www.metacritic.com/movie/lifeboat?ftag=MCD-06-10aaa1c,"Drama,War",Not Rated,28480,78,Not Rated,97 min,"
Several survivors of a torpedoed merchant ship in World War II find themselves in the same lifeboat with one of the crew members of the U-boat that sank their ship.",1944,97,7.6
Only Yesterday,/title/tt0102587/,https://www.metacritic.com/movie/only-yesterday-1991?ftag=MCD-06-10aaa1c,"Animation,Drama,Romance",PG,30807,90,PG,118 min,"
A twenty-seven-year-old office worker travels to the countryside while reminiscing about her childhood in Tokyo.",1991,118,7.6
Ace in the Hole,/title/tt0043338/,https://www.metacritic.com/movie/the-big-carnival?ftag=MCD-06-10aaa1c,"Drama,Film-Noir",Approved,34941,72,Approved,111 min,"
A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.",1951,111,8.1
Article 15,/title/tt10324144/,https://www.metacritic.com/movie/the-big-carnival?ftag=MCD-06-10aaa1c,"Crime,Drama,Mystery",Not Rated,29496,,Not Rated,130 min,"
In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination.",2019,130,8.2
Frost/Nixon,/title/tt0870111/,https://www.metacritic.com/movie/frostnixon?ftag=MCD-06-10aaa1c,"Biography,Drama,History",R,106912,80,R,122 min,"
A dramatic retelling of the post-Watergate television interviews between British talk-show host David Frost and former president Richard Nixon.",2008,122,7.7
The Past,/title/tt2404461/,https://www.metacritic.com/movie/the-past?ftag=MCD-06-10aaa1c,"Drama,Mystery",PG-13,48218,85,PG-13,130 min,"
An Iranian man deserts his French wife and her two children to return to his homeland. Meanwhile, his wife starts up a new relationship, a reality her husband confronts upon his wife's request for a divorce.",2013,130,7.7
Battleship Potemkin,/title/tt0015648/,https://www.metacritic.com/movie/battleship-potemkin?ftag=MCD-06-10aaa1c,"Drama,History,Thriller",Not Rated,56615,97,Not Rated,66 min,"
In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre.",1925,66,8.0
The Gold Rush,/title/tt0015864/,https://www.metacritic.com/movie/battleship-potemkin?ftag=MCD-06-10aaa1c,"Adventure,Comedy,Drama",Passed,108775,,Passed,95 min,"
A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.",1925,95,8.2
Nobody Knows,/title/tt0408664/,https://www.metacritic.com/movie/nobody-knows?ftag=MCD-06-10aaa1c,Drama,PG-13,27137,88,PG-13,141 min,"
In a small Tokyo apartment, twelve-year-old Akira must care for his younger siblings after their mother leaves them and shows no sign of returning.",2004,141,8.1
Vampire Hunter D: Bloodlust,/title/tt0216651/,https://www.metacritic.com/movie/vampire-hunter-d?ftag=MCD-06-10aaa1c,"Animation,Action,Drama",R,31233,62,R,103 min,"
When a girl is abducted by a vampire, a legendary bounty hunter is hired to bring her back.",2000,103,7.7
The Odd Couple,/title/tt0063374/,https://www.metacritic.com/movie/the-odd-couple?ftag=MCD-06-10aaa1c,Comedy,G,34251,86,G,105 min,"
A New Yorker newly separated from his wife moves in with his best friend, a divorced sportswriter, but their ideas of housekeeping and lifestyles are as different as night and day.",1968,105,7.7
The Big Heat,/title/tt0045555/,https://www.metacritic.com/movie/the-odd-couple?ftag=MCD-06-10aaa1c,"Crime,Film-Noir,Thriller",Not Rated,26170,,Not Rated,89 min,"
Tough cop Dave Bannion takes on a politically powerful crime syndicate.",1953,89,7.9
My Father and My Son,/title/tt0476735/,https://www.metacritic.com/movie/the-odd-couple?ftag=MCD-06-10aaa1c,"Drama,Family",Not Rated,84868,,Not Rated,112 min,"
The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.",2005,112,8.2
The Road,/title/tt0047528/,https://www.metacritic.com/movie/the-odd-couple?ftag=MCD-06-10aaa1c,Drama,Not Rated,61948,,Not Rated,108 min,"
A care-free girl is sold to a traveling entertainer, consequently enduring physical and emotional pain along the way.",1954,108,8.0
"Black Cat, White Cat",/title/tt0118843/,https://www.metacritic.com/movie/black-cat-white-cat?ftag=MCD-06-10aaa1c,"Comedy,Crime,Romance",R,53100,73,R,127 min,"
Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.",1998,127,8.1
